12:13:08.078067 IP 172.16.114.148.ftp > 194.27.251.21.1303: Flags [P.], seq 2202519189:2202519237, ack 3019547173, win 32736, length 48
20:36:29.131095 IP 172.16.114.50.telnet > 172.16.118.10.1370: Flags [P.], seq 1377276007:1377276026, ack 4101386071, win 31744, length 19
20:36:38.035163 IP 172.16.114.148.ftp > 135.13.216.191.24471: Flags [P.], seq 894090807:894090855, ack 4034328742, win 32736, length 48
20:36:41.685811 IP 172.16.114.50.telnet > 172.16.118.10.1371: Flags [P.], seq 1513786128:1513786147, ack 3987747216, win 31744, length 19
20:36:51.523856 IP 172.16.114.50.telnet > 172.16.118.10.1372: Flags [P.], seq 2726499095:2726499121, ack 608729712, win 31744, length 26
20:37:03.049937 IP 172.16.114.50.telnet > 172.16.118.10.1427: Flags [P.], seq 2011635899:2011635918, ack 2122334353, win 31744, length 19
20:37:15.151288 IP 172.16.114.50.telnet > 172.16.118.10.1428: Flags [P.], seq 3530642185:3530642204, ack 259240468, win 31744, length 19
20:37:22.389940 IP 172.16.112.50.telnet > 172.16.114.207.15148: Flags [P.], seq 4124663009:4124663026, ack 1921057282, win 8760, length 17
20:37:26.732735 IP 172.16.114.50.telnet > 172.16.118.10.1492: Flags [P.], seq 1313912428:1313912447, ack 3597794783, win 31744, length 19
20:37:38.500789 IP 172.16.114.50.telnet > 172.16.118.10.1555: Flags [P.], seq 1207463306:1207463332, ack 342094451, win 31744, length 26
20:37:50.307536 IP 172.16.114.50.telnet > 172.16.118.10.1556: Flags [P.], seq 1952196159:1952196185, ack 1150650673, win 31744, length 26
20:38:01.050724 IP 172.16.114.50.telnet > 172.16.118.10.1558: Flags [P.], seq 333937991:333938010, ack 2128019788, win 31744, length 19
20:38:11.832642 IP 172.16.114.50.telnet > 172.16.118.10.1559: Flags [P.], seq 2296704095:2296704114, ack 897846695, win 31744, length 19
20:38:22.498571 IP 172.16.114.50.telnet > 172.16.118.10.1560: Flags [P.], seq 1912586952:1912586978, ack 1935813276, win 31744, length 26
20:38:33.676277 IP 172.16.114.50.telnet > 172.16.118.10.1562: Flags [P.], seq 1947449697:1947449716, ack 3343599192, win 31744, length 19
20:38:44.191822 IP 172.16.114.50.telnet > 172.16.118.10.1622: Flags [P.], seq 2105894014:2105894033, ack 1894910793, win 31744, length 19
20:38:56.772795 IP 172.16.114.50.telnet > 172.16.118.10.1623: Flags [P.], seq 700642760:700642779, ack 1963139003, win 31744, length 19
20:39:08.767618 IP 172.16.114.50.telnet > 172.16.118.10.1626: Flags [P.], seq 3080350352:3080350371, ack 4048145732, win 31744, length 19
20:39:20.855633 IP 172.16.114.50.telnet > 172.16.118.10.1685: Flags [P.], seq 2896917657:2896917676, ack 2509240476, win 31744, length 19
20:39:32.437289 IP 172.16.114.50.telnet > 172.16.118.10.1686: Flags [P.], seq 3833256176:3833256195, ack 681015220, win 31744, length 19
20:39:44.524862 IP 172.16.114.50.telnet > 172.16.118.10.1687: Flags [P.], seq 3214549272:3214549291, ack 2024697314, win 31744, length 19
20:39:55.520004 IP 172.16.114.50.telnet > 172.16.118.10.1691: Flags [P.], seq 2401824767:2401824786, ack 2132444972, win 31744, length 19
20:40:07.469398 IP 172.16.114.50.telnet > 172.16.118.10.1692: Flags [P.], seq 2079523035:2079523061, ack 3954068737, win 31744, length 26
20:40:18.523332 IP 172.16.114.50.telnet > 172.16.118.10.1693: Flags [P.], seq 1288323109:1288323128, ack 2999710370, win 31744, length 19
20:40:30.638051 IP 172.16.114.50.telnet > 172.16.118.10.1694: Flags [P.], seq 3333696334:3333696353, ack 1948993067, win 31744, length 19
20:40:42.959541 IP 172.16.114.50.telnet > 172.16.118.10.1695: Flags [P.], seq 974472871:974472897, ack 3020990005, win 31744, length 26
20:40:57.172745 IP 172.16.114.50.telnet > 172.16.118.10.1725: Flags [P.], seq 3119914428:3119914447, ack 4713255, win 31744, length 19
20:41:06.992853 IP 172.16.114.50.telnet > 172.16.118.10.1726: Flags [P.], seq 3720957012:3720957038, ack 768241771, win 31744, length 26
20:41:17.100065 IP 172.16.114.50.telnet > 172.16.118.10.1727: Flags [P.], seq 557708401:557708427, ack 4025387432, win 31744, length 26
20:41:30.144656 IP 172.16.114.50.telnet > 172.16.118.10.1728: Flags [P.], seq 3095527641:3095527660, ack 2191806208, win 31744, length 19
20:41:41.219883 IP 172.16.114.50.telnet > 172.16.118.10.1729: Flags [P.], seq 698896555:698896574, ack 2316413606, win 31744, length 19
20:41:52.290271 IP 172.16.114.50.telnet > 172.16.118.10.1757: Flags [P.], seq 3081656978:3081657004, ack 1609462781, win 31744, length 26
20:42:02.617430 IP 172.16.114.50.telnet > 172.16.118.10.1758: Flags [P.], seq 3362794604:3362794630, ack 2435401292, win 31744, length 26
20:42:13.392461 IP 172.16.114.50.telnet > 172.16.118.10.1759: Flags [P.], seq 3494025656:3494025675, ack 2662150343, win 31744, length 19
20:42:25.120492 IP 172.16.114.50.telnet > 172.16.118.10.1789: Flags [P.], seq 4129498182:4129498201, ack 1602948549, win 31744, length 19
20:42:34.889479 IP 172.16.114.50.telnet > 172.16.118.10.1790: Flags [P.], seq 1998746462:1998746481, ack 42955752, win 31744, length 19
20:42:45.471355 IP 172.16.114.50.telnet > 172.16.118.10.1791: Flags [P.], seq 1240766987:1240767006, ack 2021256521, win 31744, length 19
20:42:56.532446 IP 172.16.114.50.telnet > 172.16.118.10.1823: Flags [P.], seq 3583446788:3583446814, ack 485488816, win 31744, length 26
20:43:08.869034 IP 172.16.114.50.telnet > 172.16.118.10.1854: Flags [P.], seq 98569942:98569968, ack 3415490535, win 31744, length 26
20:43:20.549319 IP 172.16.114.50.telnet > 172.16.118.10.1916: Flags [P.], seq 1280773002:1280773021, ack 2360110923, win 31744, length 19
20:43:32.104247 IP 172.16.114.50.telnet > 172.16.118.10.1917: Flags [P.], seq 2950667517:2950667536, ack 3599522879, win 31744, length 19
20:43:45.125182 IP 172.16.114.50.telnet > 172.16.118.10.1981: Flags [P.], seq 1376824632:1376824651, ack 1540831702, win 31744, length 19
20:43:57.025644 IP 172.16.114.50.telnet > 172.16.118.10.2045: Flags [P.], seq 3389419695:3389419721, ack 4211751246, win 31744, length 26
20:44:08.288342 IP 172.16.114.50.telnet > 172.16.118.10.2083: Flags [P.], seq 4194053627:4194053646, ack 3571170660, win 31744, length 19
20:44:20.322931 IP 172.16.114.50.telnet > 172.16.118.10.2084: Flags [P.], seq 1835307662:1835307681, ack 3858914051, win 31744, length 19
20:44:32.917388 IP 172.16.114.50.telnet > 172.16.118.10.2085: Flags [P.], seq 4175145535:4175145554, ack 2328569084, win 31744, length 19
20:44:44.832036 IP 172.16.114.50.telnet > 172.16.118.10.gnunet: Flags [P.], seq 3108858036:3108858055, ack 963760409, win 31744, length 19
20:44:56.659081 IP 172.16.114.50.telnet > 172.16.118.10.2087: Flags [P.], seq 3315365100:3315365126, ack 1026099327, win 31744, length 26
20:45:08.045912 IP 172.16.114.50.telnet > 172.16.118.10.2088: Flags [P.], seq 785048075:785048101, ack 3713828774, win 31744, length 26
20:45:22.055295 IP 172.16.114.50.telnet > 172.16.118.10.2089: Flags [P.], seq 168674973:168674992, ack 844508058, win 31744, length 19
20:45:32.719075 IP 172.16.114.50.telnet > 172.16.118.10.2090: Flags [P.], seq 452914880:452914906, ack 2102827317, win 31744, length 26
20:45:45.615519 IP 172.16.114.50.telnet > 172.16.118.10.2091: Flags [P.], seq 3535425468:3535425494, ack 2575601513, win 31744, length 26
20:45:58.225847 IP 172.16.114.50.telnet > 172.16.118.10.2092: Flags [P.], seq 4007451869:4007451888, ack 2326427431, win 31744, length 19
20:46:10.620285 IP 172.16.114.50.telnet > 172.16.118.10.2093: Flags [P.], seq 2279802169:2279802188, ack 1035649976, win 31744, length 19
20:46:20.695882 IP 172.16.114.50.telnet > 172.16.118.10.2094: Flags [P.], seq 1369145229:1369145248, ack 836896256, win 31744, length 19
20:46:32.490689 IP 172.16.114.50.telnet > 172.16.118.10.2095: Flags [P.], seq 4043948617:4043948636, ack 3213530241, win 31744, length 19
20:46:45.471672 IP 172.16.114.50.telnet > 172.16.118.10.2096: Flags [P.], seq 49189615:49189634, ack 1143275112, win 31744, length 19
20:46:56.706479 IP 172.16.114.50.telnet > 172.16.118.10.2097: Flags [P.], seq 2916413075:2916413094, ack 2251802446, win 31744, length 19
20:47:08.288026 IP 172.16.114.50.telnet > 172.16.118.10.2099: Flags [P.], seq 180380271:180380290, ack 3049571617, win 31744, length 19
20:47:19.715482 IP 172.16.114.148.ftp > 135.13.216.191.24770: Flags [P.], seq 1522225879:1522225927, ack 1162406119, win 32736, length 48
20:47:20.362804 IP 172.16.114.50.telnet > 172.16.118.10.2100: Flags [P.], seq 3451267905:3451267924, ack 139536594, win 31744, length 19
20:47:31.478105 IP 172.16.114.50.telnet > 172.16.118.10.2102: Flags [P.], seq 3311886419:3311886438, ack 284502144, win 31744, length 19
20:47:41.966497 IP 172.16.114.50.telnet > 172.16.118.10.2103: Flags [P.], seq 3756186889:3756186908, ack 85994894, win 31744, length 19
20:47:53.789910 IP 172.16.114.50.telnet > 172.16.118.10.2104: Flags [P.], seq 4239788014:4239788040, ack 963922362, win 31744, length 26
20:48:04.849342 IP 172.16.114.50.telnet > 172.16.118.10.eklogin: Flags [P.], seq 264139544:264139563, ack 578373580, win 31744, length 19
20:48:17.710326 IP 172.16.114.50.telnet > 172.16.118.10.2106: Flags [P.], seq 1331820356:1331820375, ack 2214378099, win 31744, length 19
20:48:28.745467 IP 172.16.114.50.telnet > 172.16.118.10.2107: Flags [P.], seq 908438710:908438729, ack 60976565, win 31744, length 19
20:48:40.820037 IP 172.16.114.50.telnet > 172.16.118.10.2108: Flags [P.], seq 1041787896:1041787915, ack 3035636841, win 31744, length 19
20:50:04.479461 IP 172.16.114.50.telnet > 197.182.91.233.24934: Flags [P.], seq 2165642734:2165642753, ack 3324606449, win 31744, length 19
20:54:14.927003 IP 172.16.112.100.ftp > 172.16.114.207.18419: Flags [P.], seq 18447870:18447901, ack 1144857239, win 8709, length 31
20:55:19.508232 IP 172.16.113.50.telnet > 172.16.113.84.18614: Flags [P.], seq 2147072096:2147072113, ack 4231523904, win 4096, length 17
20:55:25.006290 IP 172.16.112.100.ftp > 172.16.113.105.18618: Flags [P.], seq 18518573:18518604, ack 218167462, win 8708, length 31
21:00:37.218975 IP 172.16.112.100.ftp > 194.27.251.21.25717: Flags [P.], seq 18829932:18829963, ack 2907089229, win 8715, length 31
21:01:31.636215 IP 172.16.114.148.ftp > 108.218.115.195.rev.sfr.net.26257: Flags [P.], seq 1404856930:1404856978, ack 1824970182, win 32736, length 48
21:03:50.015334 IP 172.16.113.50.telnet > 172.16.112.149.20487: Flags [P.], seq 65408087:65408104, ack 1341555041, win 4096, length 17
21:07:15.124626 IP 172.16.112.100.ftp > www.aasa.co.za.26872: Flags [P.], seq 19228666:19228697, ack 3066889178, win 8711, length 31
21:11:06.586024 IP 172.16.114.148.ftp > 194.27.251.21.27845: Flags [P.], seq 1452076319:1452076367, ack 4201716611, win 32736, length 48
21:15:06.613485 IP 172.16.112.50.ftp > 172.16.114.50.4791: Flags [P.], seq 116143342:116143368, ack 3035793623, win 8760, length 26
21:30:16.317950 IP 172.16.112.100.ftp > 135.13.216.191.28703: Flags [P.], seq 20608948:20608979, ack 3112294608, win 8715, length 31
21:30:23.694766 IP 172.16.114.50.telnet > 172.16.112.194.23559: Flags [P.], seq 101068045:101068064, ack 369152390, win 31744, length 19
22:04:04.109864 IP 10.20.30.40.47682 > 172.16.112.50.ssh: Flags [S], seq 711520514, win 242, length 0
22:04:04.109864 IP 10.20.30.40.47682 > 172.16.112.50.ssh: Flags [S], seq 711520514, win 242, length 0
22:04:04.209824 IP 10.20.30.40.48962 > 172.16.112.50.ssh: Flags [S], seq 795406594, win 242, length 0
22:04:04.209824 IP 10.20.30.40.48962 > 172.16.112.50.ssh: Flags [S], seq 795406594, win 242, length 0
22:04:04.309805 IP 10.20.30.40.50242 > 172.16.112.50.ssh: Flags [S], seq 879292674, win 242, length 0
22:04:04.309805 IP 10.20.30.40.50242 > 172.16.112.50.ssh: Flags [S], seq 879292674, win 242, length 0
22:04:04.409798 IP 10.20.30.40.51522 > 172.16.112.50.ssh: Flags [S], seq 963178754, win 242, length 0
22:04:04.409798 IP 10.20.30.40.51522 > 172.16.112.50.ssh: Flags [S], seq 963178754, win 242, length 0
22:31:04.059721 IP 172.16.112.50.ftp > 172.16.113.50.1234: Flags [P.], seq 701343946:701343975, ack 735360030, win 8760, length 29
22:32:34.263075 IP 172.16.114.50.ftp > 172.16.113.50.1242: Flags [P.], seq 3612085207:3612085236, ack 747264030, win 31744, length 29
22:45:58.642538 IP 172.16.114.50.ftp > 172.16.113.50.1265: Flags [P.], seq 3664556646:3664556675, ack 849664030, win 31744, length 29
00:05:59.224968 IP 172.16.112.50.ftp > 172.16.114.50.5192: Flags [P.], seq 1414152040:1414152068, ack 403619682, win 8760, length 28
00:46:20.156195 IP 172.16.118.70.ftp > 172.16.114.50.5239: Flags [P.], seq 282256282:282256330, ack 3401743830, win 32736, length 48
00:46:27.281738 IP 172.16.114.50.5239 > 172.16.118.70.ftp: Flags [P.], seq 445:631, ack 875, win 31744, length 186
