12:00:43.729796 IP 172.16.114.148.ftp > 194.27.251.21.1024: Flags [P.], seq 246757133:246757181, ack 3426122286, win 32736, length 48
16:15:01.241860 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 486180:487640, ack 1, win 32736, length 1460
16:15:01.243081 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 487640:489100, ack 1, win 32736, length 1460
16:15:01.254015 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 497860:499320, ack 1, win 32736, length 1460
16:15:01.255307 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 499320:500780, ack 1, win 32736, length 1460
16:15:01.256574 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 500780:502240, ack 1, win 32736, length 1460
16:15:01.257793 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 502240:503700, ack 1, win 32736, length 1460
16:15:01.261911 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 503700:505160, ack 1, win 32736, length 1460
16:15:01.263143 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 505160:506620, ack 1, win 32736, length 1460
16:15:01.264457 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 506620:508080, ack 1, win 32736, length 1460
16:15:01.265678 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 508080:509540, ack 1, win 32736, length 1460
16:15:01.266936 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 509540:511000, ack 1, win 32736, length 1460
16:15:01.268459 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 511000:512460, ack 1, win 32736, length 1460
16:15:01.269690 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 512460:513920, ack 1, win 32736, length 1460
16:15:01.270934 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 513920:515380, ack 1, win 32736, length 1460
16:15:01.272156 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 515380:516840, ack 1, win 32736, length 1460
16:15:01.273409 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 516840:518300, ack 1, win 32736, length 1460
16:15:01.274784 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 518300:519760, ack 1, win 32736, length 1460
16:15:01.286652 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 531440:532900, ack 1, win 32736, length 1460
16:15:01.287907 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 532900:534360, ack 1, win 32736, length 1460
16:15:01.289161 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 534360:535820, ack 1, win 32736, length 1460
16:15:01.290427 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 535820:537280, ack 1, win 32736, length 1460
16:15:01.276040 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 519760:521220, ack 1, win 32736, length 1460
16:15:01.278016 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 521220:522680, ack 1, win 32736, length 1460
16:15:01.279242 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 522680:524140, ack 1, win 32736, length 1460
16:15:01.280470 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 524140:525600, ack 1, win 32736, length 1460
16:15:01.281700 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 525600:527060, ack 1, win 32736, length 1460
16:15:01.282932 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 527060:528520, ack 1, win 32736, length 1460
16:15:01.284174 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 528520:529980, ack 1, win 32736, length 1460
16:15:01.285396 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 529980:531440, ack 1, win 32736, length 1460
16:15:01.286652 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 531440:532900, ack 1, win 32736, length 1460
16:15:01.287907 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 532900:534360, ack 1, win 32736, length 1460
16:15:01.289161 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 534360:535820, ack 1, win 32736, length 1460
16:15:01.290427 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 535820:537280, ack 1, win 32736, length 1460
16:15:01.297849 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 538740:540200, ack 1, win 32736, length 1460
16:15:01.299263 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 540200:541660, ack 1, win 32736, length 1460
16:15:01.301735 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 543120:544580, ack 1, win 32736, length 1460
16:15:01.302958 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 544580:546040, ack 1, win 32736, length 1460
16:15:01.305427 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 547500:548960, ack 1, win 32736, length 1460
16:15:01.306684 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 548960:550420, ack 1, win 32736, length 1460
16:15:01.309372 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 551880:553340, ack 1, win 32736, length 1460
16:15:01.310665 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 553340:554800, ack 1, win 32736, length 1460
16:15:01.313129 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 556260:557720, ack 1, win 32736, length 1460
16:15:01.316922 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 560640:562100, ack 1, win 32736, length 1460
16:15:01.319382 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 563560:565020, ack 1, win 32736, length 1460
16:15:01.321845 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 566480:567940, ack 1, win 32736, length 1460
16:15:01.323077 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 567940:569400, ack 1, win 32736, length 1460
16:15:01.324310 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 569400:570860, ack 1, win 32736, length 1460
16:15:01.326878 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 572320:573780, ack 1, win 32736, length 1460
16:15:01.329331 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 575240:576700, ack 1, win 32736, length 1460
16:15:01.339917 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 578160:579620, ack 1, win 32736, length 1460
16:15:01.341159 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 579620:581080, ack 1, win 32736, length 1460
16:15:01.344884 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 584000:585460, ack 1, win 32736, length 1460
16:15:01.347450 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 586920:588380, ack 1, win 32736, length 1460
16:15:01.348671 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 588380:589840, ack 1, win 32736, length 1460
16:15:01.351136 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 591300:592760, ack 1, win 32736, length 1460
16:15:01.366515 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 602980:604440, ack 1, win 32736, length 1460
16:15:01.367747 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 604440:605900, ack 1, win 32736, length 1460
16:15:01.370216 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 607360:608820, ack 1, win 32736, length 1460
16:15:01.371649 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 608820:610280, ack 1, win 32736, length 1460
16:15:01.374138 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 611740:613200, ack 1, win 32736, length 1460
16:15:01.375442 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 613200:614660, ack 1, win 32736, length 1460
16:15:01.378180 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 616120:617580, ack 1, win 32736, length 1460
16:15:01.379402 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 617580:619040, ack 1, win 32736, length 1460
16:15:01.380632 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 619040:620500, ack 1, win 32736, length 1460
16:15:01.383097 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 621960:623420, ack 1, win 32736, length 1460
16:15:01.384339 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 623420:624880, ack 1, win 32736, length 1460
16:15:01.386842 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 626340:627800, ack 1, win 32736, length 1460
16:15:01.401009 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 627800:629260, ack 1, win 32736, length 1460
16:15:01.402252 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 629260:630720, ack 1, win 32736, length 1460
16:15:01.412366 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 640940:642400, ack 1, win 32736, length 1460
16:15:01.413660 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 642400:643860, ack 1, win 32736, length 1460
16:15:01.414964 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 643860:645320, ack 1, win 32736, length 1460
16:15:01.417558 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 646780:648240, ack 1, win 32736, length 1460
16:15:01.420021 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 649700:651160, ack 1, win 32736, length 1460
16:15:01.426740 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 652620:654080, ack 1, win 32736, length 1460
16:15:01.427968 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 654080:655540, ack 1, win 32736, length 1460
16:15:01.429199 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 655540:657000, ack 1, win 32736, length 1460
16:15:01.430431 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 657000:658460, ack 1, win 32736, length 1460
16:15:01.433155 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 658460:659920, ack 1, win 32736, length 1460
16:15:01.440710 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 661380:662840, ack 1, win 32736, length 1460
16:15:01.441958 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 662840:664300, ack 1, win 32736, length 1460
16:15:01.443190 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 664300:665760, ack 1, win 32736, length 1460
16:15:01.450760 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 665760:667220, ack 1, win 32736, length 1460
16:15:01.451996 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 667220:668680, ack 1, win 32736, length 1460
16:15:01.454783 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 668680:670140, ack 1, win 32736, length 1460
16:15:01.456132 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 670140:671600, ack 1, win 32736, length 1460
16:15:01.460491 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 671600:673060, ack 1, win 32736, length 1460
16:15:01.461728 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 673060:674520, ack 1, win 32736, length 1460
16:15:01.462969 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 674520:675980, ack 1, win 32736, length 1460
16:15:01.464406 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 675980:677440, ack 1, win 32736, length 1460
16:15:01.465672 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 677440:678900, ack 1, win 32736, length 1460
16:15:01.467082 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 678900:680360, ack 1, win 32736, length 1460
16:15:01.468425 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 680360:681820, ack 1, win 32736, length 1460
16:15:01.471568 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 681820:683280, ack 1, win 32736, length 1460
16:15:01.481839 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 693500:694960, ack 1, win 32736, length 1460
16:15:01.483071 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 694960:696420, ack 1, win 32736, length 1460
16:15:01.490413 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 696420:697880, ack 1, win 32736, length 1460
16:15:01.492901 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 699340:700800, ack 1, win 32736, length 1460
16:15:01.494133 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 700800:702260, ack 1, win 32736, length 1460
16:15:01.495367 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 702260:703720, ack 1, win 32736, length 1460
16:15:01.498014 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 705180:706640, ack 1, win 32736, length 1460
16:15:01.499233 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 706640:708100, ack 1, win 32736, length 1460
16:15:01.501698 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 709560:711020, ack 1, win 32736, length 1460
16:15:01.502928 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 711020:712480, ack 1, win 32736, length 1460
16:15:01.505391 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 713940:715400, ack 1, win 32736, length 1460
16:15:01.506849 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 715400:716860, ack 1, win 32736, length 1460
16:15:01.508079 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 716860:718320, ack 1, win 32736, length 1460
16:15:01.511774 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 721240:722700, ack 1, win 32736, length 1460
16:15:01.521235 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 724160:725620, ack 1, win 32736, length 1460
16:15:01.522471 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 725620:727080, ack 1, win 32736, length 1460
16:15:01.523721 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 727080:728540, ack 1, win 32736, length 1460
16:15:01.526261 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 730000:731460, ack 1, win 32736, length 1460
16:15:01.527552 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 731460:732920, ack 1, win 32736, length 1460
16:15:01.530110 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 734380:735840, ack 1, win 32736, length 1460
16:15:01.532587 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 737300:738760, ack 1, win 32736, length 1460
16:15:01.533888 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 738760:740220, ack 1, win 32736, length 1460
16:15:01.542636 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 748980:750440, ack 1, win 32736, length 1460
16:15:01.543857 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 750440:751900, ack 1, win 32736, length 1460
16:15:01.545090 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 751900:753360, ack 1, win 32736, length 1460
16:15:01.546324 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 753360:754820, ack 1, win 32736, length 1460
16:15:01.570115 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 756280:757740, ack 1, win 32736, length 1460
16:15:01.571345 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 757740:759200, ack 1, win 32736, length 1460
16:15:01.573808 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 760660:762120, ack 1, win 32736, length 1460
16:15:01.575039 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 762120:763580, ack 1, win 32736, length 1460
16:15:01.576368 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 763580:765040, ack 1, win 32736, length 1460
16:15:01.578922 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 766500:767960, ack 1, win 32736, length 1460
16:15:01.580153 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 767960:769420, ack 1, win 32736, length 1460
16:15:01.581386 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 769420:770880, ack 1, win 32736, length 1460
16:15:01.582630 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 770880:772340, ack 1, win 32736, length 1460
16:15:01.583849 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 772340:773800, ack 1, win 32736, length 1460
16:15:01.585205 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 773800:775260, ack 1, win 32736, length 1460
16:15:01.586598 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 775260:776720, ack 1, win 32736, length 1460
16:15:01.594179 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 784020:785480, ack 1, win 32736, length 1460
16:15:01.595422 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 785480:786940, ack 1, win 32736, length 1460
16:15:01.596646 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 786940:788400, ack 1, win 32736, length 1460
16:15:01.602029 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 789860:791320, ack 1, win 32736, length 1460
16:15:01.604502 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 792780:794240, ack 1, win 32736, length 1460
16:15:01.610767 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 794240:795700, ack 1, win 32736, length 1460
16:15:01.613336 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 797160:798620, ack 1, win 32736, length 1460
16:15:01.614640 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 798620:800080, ack 1, win 32736, length 1460
16:15:01.617141 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 801540:803000, ack 1, win 32736, length 1460
16:15:01.618433 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 803000:804460, ack 1, win 32736, length 1460
16:15:01.619664 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 804460:805920, ack 1, win 32736, length 1460
16:15:01.620906 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 805920:807380, ack 1, win 32736, length 1460
16:15:01.623359 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 808840:810300, ack 1, win 32736, length 1460
16:15:01.624592 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 810300:811760, ack 1, win 32736, length 1460
16:15:01.630836 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 817600:819060, ack 1, win 32736, length 1460
16:15:01.632067 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 819060:820520, ack 1, win 32736, length 1460
16:15:01.633310 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 820520:821980, ack 1, win 32736, length 1460
16:15:01.634531 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 821980:823440, ack 1, win 32736, length 1460
16:15:01.635763 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 823440:824900, ack 1, win 32736, length 1460
16:15:01.642121 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 824900:826360, ack 1, win 32736, length 1460
16:15:01.647247 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 830740:832200, ack 1, win 32736, length 1460
16:15:01.648538 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 832200:833660, ack 1, win 32736, length 1460
16:15:01.649842 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 833660:835120, ack 1, win 32736, length 1460
16:15:01.651087 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 835120:836580, ack 1, win 32736, length 1460
16:15:01.652380 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 836580:838040, ack 1, win 32736, length 1460
16:15:01.653673 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 838040:839500, ack 1, win 32736, length 1460
16:15:01.654904 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 839500:840960, ack 1, win 32736, length 1460
16:15:01.656147 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 840960:842420, ack 1, win 32736, length 1460
16:15:01.664204 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 842420:843880, ack 1, win 32736, length 1460
16:15:01.667105 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 845340:846800, ack 1, win 32736, length 1460
16:15:01.668344 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 846800:848260, ack 1, win 32736, length 1460
16:15:01.669565 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 848260:849720, ack 1, win 32736, length 1460
16:15:01.673603 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 849720:851180, ack 1, win 32736, length 1460
16:15:01.676068 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 852640:854100, ack 1, win 32736, length 1460
16:15:01.677311 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 854100:855560, ack 1, win 32736, length 1460
16:15:01.678531 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 855560:857020, ack 1, win 32736, length 1460
16:15:01.681170 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 858480:859940, ack 1, win 32736, length 1460
16:15:01.682401 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 859940:861400, ack 1, win 32736, length 1460
16:15:01.694146 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 871620:873080, ack 1, win 32736, length 1460
16:15:01.695378 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 873080:874540, ack 1, win 32736, length 1460
16:15:01.696706 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 874540:876000, ack 1, win 32736, length 1460
16:15:01.700629 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 878920:880380, ack 1, win 32736, length 1460
16:15:01.704443 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 883300:884760, ack 1, win 32736, length 1460
16:15:01.706212 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 884760:886220, ack 1, win 32736, length 1460
16:15:01.710106 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 889140:890600, ack 1, win 32736, length 1460
16:15:01.714256 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 893520:894980, ack 1, win 32736, length 1460
16:15:01.718632 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 897900:899360, ack 1, win 32736, length 1460
16:15:01.719995 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 899360:900820, ack 1, win 32736, length 1460
16:15:01.723811 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 903740:905200, ack 1, win 32736, length 1460
16:15:01.727556 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 908120:909580, ack 1, win 32736, length 1460
16:15:01.728787 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 909580:911040, ack 1, win 32736, length 1460
16:15:01.730052 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 911040:912500, ack 1, win 32736, length 1460
16:15:01.736811 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 912500:913960, ack 1, win 32736, length 1460
16:15:01.738042 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 913960:915420, ack 1, win 32736, length 1460
16:15:01.739275 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 915420:916880, ack 1, win 32736, length 1460
16:15:01.740521 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 916880:918340, ack 1, win 32736, length 1460
16:15:01.741749 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 918340:919800, ack 1, win 32736, length 1460
16:15:01.742981 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 919800:921260, ack 1, win 32736, length 1460
16:15:01.744214 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 921260:922720, ack 1, win 32736, length 1460
16:15:01.745448 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 922720:924180, ack 1, win 32736, length 1460
16:15:01.761117 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 940240:941700, ack 1, win 32736, length 1460
16:15:01.762374 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 941700:943160, ack 1, win 32736, length 1460
16:15:01.763666 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 943160:944620, ack 1, win 32736, length 1460
16:15:01.767623 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 947540:949000, ack 1, win 32736, length 1460
16:15:01.770134 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 950460:951920, ack 1, win 32736, length 1460
16:15:01.772631 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 953380:954840, ack 1, win 32736, length 1460
16:15:01.773857 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 954840:956300, ack 1, win 32736, length 1460
16:15:01.776568 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 957760:959220, ack 1, win 32736, length 1460
16:15:01.777797 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 959220:960680, ack 1, win 32736, length 1460
16:15:01.781492 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 963600:965060, ack 1, win 32736, length 1460
16:15:01.782724 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 965060:966520, ack 1, win 32736, length 1460
16:15:01.792857 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 969440:970900, ack 1, win 32736, length 1460
16:15:01.795320 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 972360:973820, ack 1, win 32736, length 1460
16:15:01.796657 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 973820:975280, ack 1, win 32736, length 1460
16:15:01.799111 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 976740:978200, ack 1, win 32736, length 1460
16:15:01.801572 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 979660:981120, ack 1, win 32736, length 1460
16:15:01.804036 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 982580:984040, ack 1, win 32736, length 1460
16:15:01.806911 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 985500:986960, ack 1, win 32736, length 1460
16:15:01.810604 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 989880:991340, ack 1, win 32736, length 1460
16:15:01.813069 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 992800:994260, ack 1, win 32736, length 1460
16:15:01.815657 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 995720:997180, ack 1, win 32736, length 1460
16:15:01.829220 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 1000100:1001560, ack 1, win 32736, length 1460
16:15:01.832942 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 1004480:1005940, ack 1, win 32736, length 1460
16:15:01.834174 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 1005940:1007400, ack 1, win 32736, length 1460
16:15:01.838004 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 1010320:1011780, ack 1, win 32736, length 1460
